word,translation
margherita_pizza,玛格丽特披萨
pepperoni_pizza,意大利腊肠披萨
meat_lovers_pizza,肉类爱好者披萨
veggie_pizza,蔬菜披萨
four_cheese_pizza,四种奶酪披萨
buffalo_chicken_pizza,水牛城鸡肉披萨
spinach_and_feta_pizza,菠菜和羊乳酪披萨
hawaiian_pizza,夏威夷披萨
seafood_pizza,海鲜披萨
dessert_pizza,甜点披萨
spicy_pizza,辣味披萨
breakfast_pizza,早餐披萨
vegan_pizza,素食披萨
gluten_free_pizza,无麸质披萨
chocolate,巧克力
candy,糖果
cookie,饼干
cake,蛋糕
pie,派
ice_cream,冰淇淋
pudding,布丁
jelly,果冻
muffin,松饼
donut,甜甜圈
croissant,羊角面包
bagel,贝果
pretzel,椒盐卷饼
popcorn,爆米花
caramel,焦糖
marshmallow,棉花糖
gum,口香糖
licorice,甘草糖
